Code,Name,Year,Source,Population,Inland_Area_Hectares,Total_Area_Hectares,Population_per_hectare,Square_Kilometres,Population_per_square_kilometre
E09000001,City of London,1999,ONS MYE,6581,290.4,314.9,22.7,2.9,2266.2
E09000001,City of London,2000,ONS MYE,7014,290.4,314.9,24.2,2.9,2415.3
E09000001,City of London,2001,ONS MYE,7359,290.4,314.9,25.3,2.9,2534.1
E09000001,City of London,2002,ONS MYE,7280,290.4,314.9,25.1,2.9,2506.9
E09000001,City of London,2003,ONS MYE,7115,290.4,314.9,24.5,2.9,2450.1
E09000001,City of London,2004,ONS MYE,7118,290.4,314.9,24.5,2.9,2451.2
E09000001,City of London,2005,ONS MYE,7131,290.4,314.9,24.6,2.9,2455.6
E09000001,City of London,2006,ONS MYE,7254,290.4,314.9,25,2.9,2498
E09000001,City of London,2007,ONS MYE,7607,290.4,314.9,26.2,2.9,2619.5
E09000001,City of London,2008,ONS MYE,7429,290.4,314.9,25.6,2.9,2558.3
E09000001,City of London,2009,ONS MYE,7472,290.4,314.9,25.7,2.9,2573.1
E09000001,City of London,2010,ONS MYE,7338,290.4,314.9,25.3,2.9,2526.9
E09000001,City of London,2011,GLA Population Projections,7412,290.4,314.9,25.5,2.9,2552.4
E09000001,City of London,2012,GLA Population Projections,7204,290.4,314.9,24.8,2.9,2480.8
E09000001,City of London,2013,GLA Population Projections,6848,290.4,314.9,23.6,2.9,2358.2
E09000001,City of London,2014,GLA Population Projections,6872,290.4,314.9,23.7,2.9,2366.4
E09000001,City of London,2015,GLA Population Projections,7160,290.4,314.9,24.7,2.9,2465.6
E09000001,City of London,2016,GLA Population Projections,7401,290.4,314.9,25.5,2.9,2548.6
E09000001,City of London,2017,GLA Population Projections,7405,290.4,314.9,25.5,2.9,2550
E09000001,City of London,2018,GLA Population Projections,7681,290.4,314.9,26.5,2.9,2645
E09000001,City of London,2019,GLA Population Projections,7953,290.4,314.9,27.4,2.9,2738.7
E09000001,City of London,2020,GLA Population Projections,8046,290.4,314.9,27.7,2.9,2770.7
E09000001,City of London,2021,GLA Population Projections,8164,290.4,314.9,28.1,2.9,2811.4
E09000001,City of London,2022,GLA Population Projections,8289,290.4,314.9,28.5,2.9,2854.4
E09000001,City of London,2023,GLA Population Projections,8408,290.4,314.9,29,2.9,2895.4
E09000001,City of London,2024,GLA Population Projections,8526,290.4,314.9,29.4,2.9,2936
E09000001,City of London,2025,GLA Population Projections,8661,290.4,314.9,29.8,2.9,2982.5
E09000001,City of London,2026,GLA Population Projections,8802,290.4,314.9,30.3,2.9,3031.1
E09000001,City of London,2027,GLA Population Projections,8940,290.4,314.9,30.8,2.9,3078.6
E09000001,City of London,2028,GLA Population Projections,9075,290.4,314.9,31.3,2.9,3125.1
E09000001,City of London,2029,GLA Population Projections,9211,290.4,314.9,31.7,2.9,3171.9
E09000001,City of London,2030,GLA Population Projections,9367,290.4,314.9,32.3,2.9,3225.6
E09000001,City of London,2031,GLA Population Projections,9508,290.4,314.9,32.7,2.9,3274.2
E09000001,City of London,2032,GLA Population Projections,9640,290.4,314.9,33.2,2.9,3319.6
E09000001,City of London,2033,GLA Population Projections,9767,290.4,314.9,33.6,2.9,3363.4
E09000001,City of London,2034,GLA Population Projections,9892,290.4,314.9,34.1,2.9,3406.4
E09000001,City of London,2035,GLA Population Projections,10001,290.4,314.9,34.4,2.9,3443.9
E09000001,City of London,2036,GLA Population Projections,10097,290.4,314.9,34.8,2.9,3477
E09000001,City of London,2037,GLA Population Projections,10188,290.4,314.9,35.1,2.9,3508.3
E09000001,City of London,2038,GLA Population Projections,10278,290.4,314.9,35.4,2.9,3539.3
E09000001,City of London,2039,GLA Population Projections,10366,290.4,314.9,35.7,2.9,3569.6
E09000001,City of London,2040,GLA Population Projections,10448,290.4,314.9,36,2.9,3597.9
E09000001,City of London,2041,GLA Population Projections,10531,290.4,314.9,36.3,2.9,3626.5
E09000001,City of London,2042,GLA Population Projections,10552,290.4,314.9,36.3,2.9,3633.7
E09000001,City of London,2043,GLA Population Projections,10561,290.4,314.9,36.4,2.9,3636.8
E09000001,City of London,2044,GLA Population Projections,10568,290.4,314.9,36.4,2.9,3639.2
E09000001,City of London,2045,GLA Population Projections,10575,290.4,314.9,36.4,2.9,3641.6
E09000001,City of London,2046,GLA Population Projections,10583,290.4,314.9,36.4,2.9,3644.4
