2019-11-04 14:44:28.2625 TotalError: 0, AverageError: 0, Region: Northern Ireland, London: False, Error: 0, Next: -0.386, Change: -1
2019-11-04 14:44:31.7491 TotalError: 0, AverageError: 0, Region: United Kingdom, London: False, Error: 0, Next: 0.242, Change: -1
2019-11-04 14:44:32.5730 TotalError: 0.001, AverageError: 0, Region: Scotland, London: False, Error: 0.001, Next: -0.027, Change: -1
2019-11-04 14:44:46.0680 TotalError: 0.003, AverageError: 0.001, Region: London, London: True, Error: 0.002, Next: 0.749, Change: -1
2019-11-04 14:44:46.2662 TotalError: 0.005, AverageError: 0.001, Region: South West, London: False, Error: 0.002, Next: 0.111, Change: -1
2019-11-04 14:44:46.8750 TotalError: 0.007, AverageError: 0.001, Region: East of England, London: False, Error: 0.002, Next: 0.211, Change: -1
2019-11-04 14:44:47.7964 TotalError: 0.008, AverageError: 0.001, Region: England, London: False, Error: 0.002, Next: 0.327, Change: -1
2019-11-04 14:44:47.8151 TotalError: 0.01, AverageError: 0.001, Region: West Midlands Region, London: False, Error: 0.002, Next: 0.023, Change: -1
2019-11-04 14:44:51.4443 TotalError: 0.013, AverageError: 0.001, Region: Amber Valley, London: False, Error: 0.003, Next: 0.032, Change: -1
2019-11-04 14:44:54.2447 TotalError: 0.015, AverageError: 0.002, Region: Adur, London: False, Error: 0.002, Next: 0.328, Change: -1
2019-11-04 14:44:54.8009 TotalError: 0.018, AverageError: 0.002, Region: Wales, London: False, Error: 0.002, Next: 0.009, Change: -1
2019-11-04 14:44:55.5054 TotalError: 0.021, AverageError: 0.002, Region: North East, London: False, Error: 0.003, Next: -0.01, Change: -1
2019-11-04 14:44:56.2352 TotalError: 0.026, AverageError: 0.002, Region: Allerdale, London: False, Error: 0.005, Next: 0.026, Change: -1
2019-11-04 14:44:56.4290 TotalError: 0.029, AverageError: 0.002, Region: South East, London: False, Error: 0.003, Next: 0.238, Change: -1
2019-11-04 14:44:57.2125 TotalError: 0.031, AverageError: 0.002, Region: Yorkshire and The Humber, London: False, Error: 0.002, Next: 0.032, Change: -1
2019-11-04 14:45:11.7167 TotalError: 0.037, AverageError: 0.002, Region: Barrow-in-Furness, London: False, Error: 0.006, Next: 0.189, Change: -1
2019-11-04 14:45:12.7184 TotalError: 0.037, AverageError: 0.002, Region: Basildon, London: False, Error: 0.001, Next: 0.186, Change: -1
2019-11-04 14:45:20.9136 TotalError: 0.042, AverageError: 0.002, Region: Barking and Dagenham, London: True, Error: 0.005, Next: 0.259, Change: -1
2019-11-04 14:45:21.2609 TotalError: 0.044, AverageError: 0.002, Region: Ashford, London: False, Error: 0.002, Next: 0.127, Change: -1
2019-11-04 14:45:22.7425 TotalError: 0.048, AverageError: 0.002, Region: Babergh, London: False, Error: 0.003, Next: 0.141, Change: -1
2019-11-04 14:45:22.9842 TotalError: 0.048, AverageError: 0.002, Region: Arun, London: False, Error: 0.001, Next: 0.145, Change: -1
2019-11-04 14:45:23.1544 TotalError: 0.052, AverageError: 0.002, Region: Ashfield, London: False, Error: 0.004, Next: -0.072, Change: -1
2019-11-04 14:45:23.2336 TotalError: 0.055, AverageError: 0.002, Region: Barnet, London: True, Error: 0.003, Next: 0.621, Change: -1
2019-11-04 14:45:23.8205 TotalError: 0.057, AverageError: 0.002, Region: Aylesbury Vale, London: False, Error: 0.001, Next: 0.175, Change: -1
2019-11-04 14:45:24.1283 TotalError: 0.059, AverageError: 0.002, Region: Barnsley, London: False, Error: 0.003, Next: -0.093, Change: -1
2019-11-04 14:45:39.4247 TotalError: 0.061, AverageError: 0.002, Region: Bassetlaw, London: False, Error: 0.001, Next: -0.019, Change: -1
2019-11-04 14:45:41.7591 TotalError: 0.063, AverageError: 0.002, Region: Blackburn with Darwen, London: False, Error: 0.003, Next: -0.04, Change: -1
2019-11-04 14:45:41.9009 TotalError: 0.064, AverageError: 0.002, Region: Birmingham, London: False, Error: 0.001, Next: 0.001, Change: -1
2019-11-04 14:45:42.7592 TotalError: 0.067, AverageError: 0.002, Region: Bath and North East Somerset, London: False, Error: 0.003, Next: 0.178, Change: -1
2019-11-04 14:45:43.1364 TotalError: 0.07, AverageError: 0.002, Region: Basingstoke and Deane, London: False, Error: 0.003, Next: 0.179, Change: -1
2019-11-04 14:45:43.9513 TotalError: 0.072, AverageError: 0.002, Region: Blaby, London: False, Error: 0.001, Next: 0.013, Change: -1
2019-11-04 14:45:44.0864 TotalError: 0.075, AverageError: 0.002, Region: Bexley, London: True, Error: 0.003, Next: 0.319, Change: -1
2019-11-04 14:45:44.2607 TotalError: 0.076, AverageError: 0.002, Region: Bedford, London: False, Error: 0.002, Next: 0.127, Change: -1
2019-11-04 14:45:44.5057 TotalError: 0.079, AverageError: 0.002, Region: Blackpool, London: False, Error: 0.003, Next: -0.193, Change: -1
2019-11-04 14:46:00.8006 TotalError: 0.087, AverageError: 0.002, Region: Blaenau Gwent, London: False, Error: 0.008, Next: -0.185, Change: -1
2019-11-04 14:46:01.1535 TotalError: 0.091, AverageError: 0.003, Region: Bolsover, London: False, Error: 0.004, Next: -0.022, Change: -1
2019-11-04 14:46:02.3185 TotalError: 0.095, AverageError: 0.003, Region: Bridgend, London: False, Error: 0.005, Next: 0.063, Change: -1
2019-11-04 14:46:10.8449 TotalError: 0.096, AverageError: 0.003, Region: Braintree, London: False, Error: 0.001, Next: 0.125, Change: -1
2019-11-04 14:46:12.3487 TotalError: 0.102, AverageError: 0.003, Region: Bradford, London: False, Error: 0.006, Next: 0.022, Change: -1
2019-11-04 14:46:12.4249 TotalError: 0.106, AverageError: 0.003, Region: Bracknell Forest, London: False, Error: 0.004, Next: 0.261, Change: -1
2019-11-04 14:46:14.0225 TotalError: 0.113, AverageError: 0.003, Region: Boston, London: False, Error: 0.007, Next: -0.009, Change: -1
2019-11-04 14:46:14.0521 TotalError: 0.117, AverageError: 0.003, Region: Breckland, London: False, Error: 0.003, Next: 0.048, Change: -1
2019-11-04 14:46:15.0891 TotalError: 0.117, AverageError: 0.003, Region: Bournemouth, London: False, Error: 0.001, Next: 0.095, Change: -1
2019-11-04 14:46:16.5315 TotalError: 0.12, AverageError: 0.003, Region: Brent, London: True, Error: 0.003, Next: 0.707, Change: -1
2019-11-04 14:46:18.3474 TotalError: 0.124, AverageError: 0.003, Region: Brentwood, London: False, Error: 0.004, Next: 0.259, Change: -1
2019-11-04 14:46:32.3913 TotalError: 0.13, AverageError: 0.003, Region: Bolton, London: False, Error: 0.006, Next: 0.003, Change: -1
2019-11-04 14:46:39.2562 TotalError: 0.136, AverageError: 0.003, Region: Burnley, London: False, Error: 0.006, Next: 0.116, Change: -1
2019-11-04 14:46:39.5460 TotalError: 0.137, AverageError: 0.003, Region: Broxtowe, London: False, Error: 0.001, Next: -0.029, Change: -1
2019-11-04 14:46:40.4340 TotalError: 0.139, AverageError: 0.003, Region: Calderdale, London: False, Error: 0.002, Next: 0.015, Change: -1
2019-11-04 14:46:41.7154 TotalError: 0.141, AverageError: 0.003, Region: Bromsgrove, London: False, Error: 0.002, Next: 0.04, Change: -1
2019-11-04 14:46:42.1264 TotalError: 0.142, AverageError: 0.003, Region: Brighton and Hove, London: False, Error: 0.002, Next: 0.405, Change: -1
2019-11-04 14:46:42.2589 TotalError: 0.145, AverageError: 0.003, Region: Broxbourne, London: False, Error: 0.003, Next: 0.219, Change: -1
2019-11-04 14:46:42.4019 TotalError: 0.147, AverageError: 0.003, Region: Caerphilly, London: False, Error: 0.002, Next: -0.05, Change: -1
2019-11-04 14:46:42.4623 TotalError: 0.148, AverageError: 0.003, Region: Bromley, London: True, Error: 0.001, Next: 0.416, Change: -1
2019-11-04 14:46:43.1762 TotalError: 0.15, AverageError: 0.003, Region: Bury, London: False, Error: 0.002, Next: 0.016, Change: -1
2019-11-04 14:47:00.6035 TotalError: 0.156, AverageError: 0.003, Region: Carmarthenshire, London: False, Error: 0.006, Next: -0.053, Change: -1
2019-11-04 14:47:00.6900 TotalError: 0.158, AverageError: 0.003, Region: Carlisle, London: False, Error: 0.002, Next: 0.009, Change: -1
2019-11-04 14:47:01.4888 TotalError: 0.16, AverageError: 0.003, Region: Cherwell, London: False, Error: 0.002, Next: 0.217, Change: -1
2019-11-04 14:47:01.6705 TotalError: 0.163, AverageError: 0.003, Region: Cheltenham, London: False, Error: 0.003, Next: 0.123, Change: -1
2019-11-04 14:47:05.8935 TotalError: 0.165, AverageError: 0.003, Region: Buckinghamshire, London: False, Error: 0.002, Next: 0.257, Change: -1
2019-11-04 14:47:06.3379 TotalError: 0.168, AverageError: 0.003, Region: Canterbury, London: False, Error: 0.004, Next: 0.286, Change: -1
2019-11-04 14:47:07.3314 TotalError: 0.17, AverageError: 0.003, Region: Cambridgeshire, London: False, Error: 0.002, Next: 0.383, Change: -1
2019-11-04 14:47:08.6438 TotalError: 0.171, AverageError: 0.003, Region: Central Bedfordshire, London: False, Error: 0.001, Next: 0.146, Change: -1
2019-11-04 14:47:10.4099 TotalError: 0.172, AverageError: 0.003, Region: Charnwood, London: False, Error: 0.002, Next: 0.021, Change: -1
2019-11-04 14:47:14.1487 TotalError: 0.174, AverageError: 0.003, Region: Cannock Chase, London: False, Error: 0.002, Next: -0, Change: -1
2019-11-04 14:47:15.0467 TotalError: 0.175, AverageError: 0.003, Region: Cheshire East, London: False, Error: 0.001, Next: 0.051, Change: -1
2019-11-04 14:47:27.3816 TotalError: 0.18, AverageError: 0.003, Region: Chesterfield, London: False, Error: 0.004, Next: 0.006, Change: -1
2019-11-04 14:47:27.6299 TotalError: 0.184, AverageError: 0.003, Region: Castle Point, London: False, Error: 0.004, Next: 0.129, Change: -1
2019-11-04 14:47:27.9228 TotalError: 0.188, AverageError: 0.003, Region: Christchurch, London: False, Error: 0.004, Next: 0.176, Change: -1
2019-11-04 14:47:28.4623 TotalError: 0.191, AverageError: 0.003, Region: Chiltern, London: False, Error: 0.003, Next: 0.315, Change: -1
