2019-10-29 13:13:27.1336 TotalError: 0.002, Region: Aberdeenshire, London: False, Error: 0.001, Next: -0.143, Change: -1
2019-10-29 13:08:18.5062 TotalError: 0.001, Region: Adur, London: False, Error: 0.001, Next: -0.075, Change: -1
2019-10-29 13:08:29.3518 TotalError: 0.001, Region: Allerdale, London: False, Error: 0.001, Next: -0.059, Change: -1
2019-10-29 13:08:27.1320 TotalError: 0.001, Region: Amber Valley, London: False, Error: 0.003, Next: 0.029, Change: -1
2019-10-29 13:13:33.1904 TotalError: 0.002, Region: Angus, London: False, Error: 0.001, Next: -0.125, Change: -1
2019-10-29 13:13:38.8383 TotalError: 0.002, Region: Argyll and Bute, London: False, Error: 0.002, Next: -0.071, Change: -1
2019-10-29 13:08:26.5170 TotalError: 0.001, Region: Arun, London: False, Error: 0.001, Next: -0.078, Change: -1
2019-10-29 13:08:25.9171 TotalError: 0.001, Region: Ashfield, London: False, Error: 0.001, Next: -0.051, Change: -1
2019-10-29 13:08:26.4750 TotalError: 0.001, Region: Ashford, London: False, Error: 0.002, Next: -0.154, Change: -1
2019-10-29 13:08:26.5807 TotalError: 0.001, Region: Aylesbury Vale, London: False, Error: 0.002, Next: -0.084, Change: -1
2019-10-29 13:08:29.5053 TotalError: 0.001, Region: Babergh, London: False, Error: 0.001, Next: -0.046, Change: -1
2019-10-29 13:08:30.2442 TotalError: 0.001, Region: Barking and Dagenham, London: True, Error: 0.001, Next: -0.121, Change: -1
2019-10-29 13:08:31.6281 TotalError: 0.001, Region: Barnet, London: True, Error: 0.001, Next: -0.103, Change: -1
2019-10-29 13:08:29.6332 TotalError: 0.001, Region: Barnsley, London: False, Error: 0, Next: -0.034, Change: -1
2019-10-29 13:08:31.3503 TotalError: 0.001, Region: Barrow-in-Furness, London: False, Error: 0.003, Next: 0.014, Change: -1
2019-10-29 13:08:28.5050 TotalError: 0.001, Region: Basildon, London: False, Error: 0.002, Next: -0.128, Change: -1
2019-10-29 13:08:28.6743 TotalError: 0.001, Region: Basingstoke and Deane, London: False, Error: 0.001, Next: -0.363, Change: -1
2019-10-29 13:08:31.4534 TotalError: 0.001, Region: Bassetlaw, London: False, Error: 0.001, Next: -0.095, Change: -1
2019-10-29 13:08:42.0752 TotalError: 0.001, Region: Bath and North East Somerset, London: False, Error: 0.002, Next: -0.02, Change: -1
2019-10-29 13:08:42.2897 TotalError: 0.001, Region: Bedford, London: False, Error: 0.001, Next: -0.164, Change: -1
2019-10-29 13:08:42.0636 TotalError: 0.001, Region: Bexley, London: True, Error: 0.002, Next: -0.063, Change: -1
2019-10-29 13:08:41.2682 TotalError: 0.001, Region: Birmingham, London: False, Error: 0.001, Next: -0.026, Change: -1
2019-10-29 13:08:42.5355 TotalError: 0.001, Region: Blaby, London: False, Error: 0.001, Next: -0.047, Change: -1
2019-10-29 13:08:42.1698 TotalError: 0.001, Region: Blackburn with Darwen, London: False, Error: 0.001, Next: -0.055, Change: -1
2019-10-29 13:08:41.4616 TotalError: 0.001, Region: Blackpool, London: False, Error: 0.001, Next: -0.099, Change: -1
2019-10-29 13:08:43.4548 TotalError: 0.001, Region: Blaenau Gwent, London: False, Error: 0.003, Next: -0.035, Change: -1
2019-10-29 13:08:44.1162 TotalError: 0.001, Region: Bolsover, London: False, Error: 0.002, Next: -0.073, Change: -1
2019-10-29 13:08:43.8654 TotalError: 0.001, Region: Bolton, London: False, Error: 0.001, Next: -0.075, Change: -1
2019-10-29 13:08:44.0285 TotalError: 0.001, Region: Boston, London: False, Error: 0.002, Next: -0.037, Change: -1
2019-10-29 13:08:44.0040 TotalError: 0.001, Region: Bournemouth, London: False, Error: 0.001, Next: -0.057, Change: -1
2019-10-29 13:08:44.2506 TotalError: 0.001, Region: Bracknell Forest, London: False, Error: 0.002, Next: -0.286, Change: -1
2019-10-29 13:08:52.0633 TotalError: 0.001, Region: Bradford, London: False, Error: 0.001, Next: -0.064, Change: -1
2019-10-29 13:09:04.9387 TotalError: 0.002, Region: Braintree, London: False, Error: 0.002, Next: -0.148, Change: -1
2019-10-29 13:08:52.0132 TotalError: 0.001, Region: Breckland, London: False, Error: 0.002, Next: -0.088, Change: -1
2019-10-29 13:09:04.8766 TotalError: 0.002, Region: Brent, London: True, Error: 0.001, Next: -0.076, Change: -1
2019-10-29 13:08:52.7066 TotalError: 0.001, Region: Brentwood, London: False, Error: 0.002, Next: 0.04, Change: -1
2019-10-29 13:09:03.8382 TotalError: 0.002, Region: Bridgend, London: False, Error: 0.003, Next: -0.041, Change: -1
2019-10-29 13:08:52.7553 TotalError: 0.001, Region: Brighton and Hove, London: False, Error: 0.001, Next: -0.044, Change: -1
2019-10-29 13:09:04.0834 TotalError: 0.002, Region: Broadland, London: False, Error: 0.002, Next: -0.081, Change: -1
2019-10-29 13:08:53.0410 TotalError: 0.001, Region: Bromley, London: True, Error: 0.001, Next: -0.124, Change: -1
2019-10-29 13:09:06.4146 TotalError: 0.002, Region: Bromsgrove, London: False, Error: 0.001, Next: -0.022, Change: -1
2019-10-29 13:08:52.4756 TotalError: 0.001, Region: Broxbourne, London: False, Error: 0.002, Next: -0.038, Change: -1
2019-10-29 13:09:03.2122 TotalError: 0.001, Region: Broxtowe, London: False, Error: 0.001, Next: -0.033, Change: -1
2019-10-29 13:08:51.8971 TotalError: 0.001, Region: Buckinghamshire, London: False, Error: 0.001, Next: -0.165, Change: -1
2019-10-29 13:09:03.8007 TotalError: 0.001, Region: Burnley, London: False, Error: 0.004, Next: 0.029, Change: -1
2019-10-29 13:08:55.0844 TotalError: 0.001, Region: Bury, London: False, Error: 0.001, Next: -0.037, Change: -1
2019-10-29 13:09:07.2096 TotalError: 0.002, Region: Caerphilly, London: False, Error: 0.002, Next: -0.066, Change: -1
2019-10-29 13:08:54.4311 TotalError: 0.001, Region: Calderdale, London: False, Error: 0.001, Next: -0.073, Change: -1
2019-10-29 13:09:06.6619 TotalError: 0.002, Region: Cambridge, London: False, Error: 0.001, Next: -0.057, Change: -1
2019-10-29 13:08:55.5146 TotalError: 0.001, Region: Cambridgeshire, London: False, Error: 0.001, Next: -0.152, Change: -1
2019-10-29 13:08:54.3754 TotalError: 0.001, Region: Camden, London: True, Error: 0.002, Next: -0.112, Change: -1
2019-10-29 13:09:06.4545 TotalError: 0.002, Region: Cannock Chase, London: False, Error: 0.002, Next: -0.033, Change: -1
2019-10-29 13:08:54.9502 TotalError: 0.001, Region: Canterbury, London: False, Error: 0.001, Next: -0.057, Change: -1
2019-10-29 13:09:05.8851 TotalError: 0.002, Region: Cardiff, London: False, Error: 0.001, Next: -0.027, Change: -1
2019-10-29 13:08:54.0323 TotalError: 0.001, Region: Carlisle, London: False, Error: 0.001, Next: -0.07, Change: -1
2019-10-29 13:09:06.3971 TotalError: 0.002, Region: Carmarthenshire, London: False, Error: 0.002, Next: -0.061, Change: -1
2019-10-29 13:09:14.0232 TotalError: 0.002, Region: Castle Point, London: False, Error: 0.002, Next: -0.087, Change: -1
2019-10-29 13:09:22.7995 TotalError: 0.002, Region: Central Bedfordshire, London: False, Error: 0.001, Next: -0.136, Change: -1
2019-10-29 13:09:12.8001 TotalError: 0.002, Region: Ceredigion, London: False, Error: 0.003, Next: -0.05, Change: -1
2019-10-29 13:09:20.1316 TotalError: 0.002, Region: Charnwood, London: False, Error: 0.001, Next: -0.04, Change: -1
2019-10-29 13:09:11.7782 TotalError: 0.002, Region: Chelmsford, London: False, Error: 0.002, Next: -0.176, Change: -1
2019-10-29 13:09:21.0978 TotalError: 0.002, Region: Cheltenham, London: False, Error: 0.001, Next: -0.009, Change: -1
2019-10-29 13:09:12.0724 TotalError: 0.002, Region: Cherwell, London: False, Error: 0.001, Next: -0.098, Change: -1
2019-10-29 13:09:21.5515 TotalError: 0.002, Region: Cheshire East, London: False, Error: 0.001, Next: -0.082, Change: -1
2019-10-29 13:09:14.9255 TotalError: 0.002, Region: Cheshire West and Chester, London: False, Error: 0.001, Next: -0.103, Change: -1
2019-10-29 13:09:24.9960 TotalError: 0.002, Region: Chesterfield, London: False, Error: 0.001, Next: 0.001, Change: -1
2019-10-29 13:09:16.7916 TotalError: 0.002, Region: Chichester, London: False, Error: 0.001, Next: -0.086, Change: -1
2019-10-29 13:09:29.3121 TotalError: 0.002, Region: Chiltern, London: False, Error: 0.002, Next: 0.02, Change: -1
2019-10-29 13:09:14.7389 TotalError: 0.002, Region: Chorley, London: False, Error: 0.001, Next: -0.086, Change: -1
2019-10-29 13:09:23.8526 TotalError: 0.002, Region: Christchurch, London: False, Error: 0.002, Next: -0.062, Change: -1
2019-10-29 13:13:44.9437 TotalError: 0.002, Region: City of Aberdeen, London: False, Error: 0.002, Next: -0.079, Change: -1
2019-10-29 13:09:13.9139 TotalError: 0.002, Region: City of Bristol, London: False, Error: 0.001, Next: -0.065, Change: -1
2019-10-29 13:09:26.0584 TotalError: 0.002, Region: City of Derby, London: False, Error: 0.002, Next: -0.136, Change: -1
2019-10-29 13:13:50.0671 TotalError: 0.002, Region: City of Dundee, London: False, Error: 0.001, Next: -0.061, Change: -1
2019-10-29 13:13:12.7777 TotalError: 0.002, Region: City of Edinburgh, London: False, Error: 0.001, Next: -0.215, Change: -1
2019-10-29 13:13:19.4473 TotalError: 0.002, Region: City of Glasgow, London: False, Error: 0.001, Next: -0.059, Change: -1
2019-10-29 13:09:14.8815 TotalError: 0.002, Region: City of Kingston upon Hull, London: False, Error: 0.002, Next: -0.041, Change: -1
2019-10-29 13:09:27.1143 TotalError: 0.002, Region: City of London, London: False, Error: 0.013, Next: 0.076, Change: -1
2019-10-29 13:09:14.0663 TotalError: 0.002, Region: City of Nottingham, London: False, Error: 0.002, Next: -0.039, Change: -1
2019-10-29 13:09:22.8956 TotalError: 0.002, Region: City of Peterborough, London: False, Error: 0.002, Next: -0.051, Change: -1
2019-10-29 13:09:16.2106 TotalError: 0.002, Region: City of Plymouth, London: False, Error: 0.001, Next: -0.211, Change: -1
2019-10-29 13:09:30.5443 TotalError: 0.002, Region: City of Westminster, London: True, Error: 0.005, Next: 0.088, Change: -1
2019-10-29 13:13:27.1336 TotalError: 0.002, Region: Clackmannanshire, London: False, Error: 0.003, Next: -0.034, Change: -1
2019-10-29 13:09:25.1336 TotalError: 0.002, Region: Colchester, London: False, Error: 0.002, Next: -0.256, Change: -1
2019-10-29 13:09:36.5056 TotalError: 0.002, Region: Conwy, London: False, Error: 0.001, Next: -0.079, Change: -1
2019-10-29 13:09:25.2685 TotalError: 0.002, Region: Copeland, London: False, Error: 0.002, Next: -0.064, Change: -1
2019-10-29 13:09:35.7750 TotalError: 0.002, Region: Corby, London: False, Error: 0.003, Next: -0.076, Change: -1
2019-10-29 13:09:29.7263 TotalError: 0.002, Region: Cornwall, London: False, Error: 0.002, Next: 0.038, Change: -1
2019-10-29 13:09:36.2565 TotalError: 0.002, Region: Cotswold, London: False, Error: 0.001, Next: -0.027, Change: -1
2019-10-29 13:09:29.6942 TotalError: 0.002, Region: County Durham, London: False, Error: 0.001, Next: -0.08, Change: -1
2019-10-29 13:09:38.9367 TotalError: 0.002, Region: Coventry, London: False, Error: 0.001, Next: -0.146, Change: -1
2019-10-29 13:09:30.4787 TotalError: 0.002, Region: Craven, London: False, Error: 0.002, Next: -0.05, Change: -1
2019-10-29 13:09:39.1468 TotalError: 0.002, Region: Crawley, London: False, Error: 0.002, Next: -0.053, Change: -1
2019-10-29 13:09:36.8913 TotalError: 0.002, Region: Croydon, London: True, Error: 0.002, Next: -0.189, Change: -1
2019-10-29 13:09:50.1018 TotalError: 0.002, Region: Cumbria, London: False, Error: 0.001, Next: -0.037, Change: -1
2019-10-29 13:09:33.8713 TotalError: 0.002, Region: Dacorum, London: False, Error: 0.001, Next: -0.167, Change: -1
2019-10-29 13:09:49.2263 TotalError: 0.002, Region: Darlington, London: False, Error: 0.002, Next: -0.059, Change: -1
2019-10-29 13:09:34.7146 TotalError: 0.002, Region: Dartford, London: False, Error: 0.002, Next: -0.119, Change: -1
2019-10-29 13:09:47.5803 TotalError: 0.002, Region: Daventry, London: False, Error: 0.002, Next: -0.229, Change: -1
2019-10-29 13:09:38.8245 TotalError: 0.002, Region: Denbighshire, London: False, Error: 0.001, Next: -0.115, Change: -1
2019-10-29 13:09:50.9986 TotalError: 0.002, Region: Derbyshire, London: False, Error: 0.001, Next: -0.06, Change: -1
2019-10-29 13:09:42.9504 TotalError: 0.002, Region: Derbyshire Dales, London: False, Error: 0.001, Next: -0.025, Change: -1
2019-10-29 13:10:00.5934 TotalError: 0.002, Region: Devon, London: False, Error: 0.002, Next: -0.058, Change: -1
