2019-10-29 13:30:32.2509 TotalError: 0.003, Region: England, London: False, Error: 0.003, Next: -0.013, Change: -1
2019-10-29 13:30:32.3317 TotalError: 0.007, Region: Yorkshire and The Humber, London: False, Error: 0.012, Next: 0.014, Change: -1
2019-10-29 13:30:32.4557 TotalError: 0.005, Region: United Kingdom, London: False, Error: 0.001, Next: -0.094, Change: -1
2019-10-29 13:30:32.5093 TotalError: 0.005, Region: London, London: False, Error: 0.003, Next: -0.319, Change: -1
2019-10-29 13:30:32.8235 TotalError: 0.004, Region: Scotland, London: False, Error: 0.001, Next: -0.034, Change: -1
2019-10-29 13:30:32.9510 TotalError: 0.004, Region: West Midlands Region, London: False, Error: 0.006, Next: 0.083, Change: -1
2019-10-29 13:30:32.9673 TotalError: 0.004, Region: South West, London: False, Error: 0.004, Next: 0.103, Change: -1
2019-10-29 13:30:33.5880 TotalError: 0.004, Region: Northern Ireland, London: False, Error: 0.002, Next: -0.17, Change: -1
2019-10-29 13:30:33.7007 TotalError: 0.005, Region: East Midlands, London: False, Error: 0.01, Next: 0.051, Change: -1
2019-10-29 13:30:40.3335 TotalError: 0.005, Region: North East, London: False, Error: 0.004, Next: -0.073, Change: -1
2019-10-29 13:30:40.4075 TotalError: 0.005, Region: Allerdale, London: False, Error: 0.008, Next: -0.053, Change: -1
2019-10-29 13:30:40.9499 TotalError: 0.005, Region: East of England, London: False, Error: 0.006, Next: 0, Change: -1
2019-10-29 13:30:41.0647 TotalError: 0.005, Region: Amber Valley, London: False, Error: 0.003, Next: 0.042, Change: -1
2019-10-29 13:30:41.0647 TotalError: 0.005, Region: South East, London: False, Error: 0.003, Next: 0.007, Change: -1
2019-10-29 13:30:41.6554 TotalError: 0.005, Region: Arun, London: False, Error: 0.009, Next: -0.114, Change: -1
2019-10-29 13:30:41.6725 TotalError: 0.005, Region: Barking and Dagenham, London: True, Error: 0.01, Next: -0.284, Change: -1
2019-10-29 13:30:41.7363 TotalError: 0.005, Region: Adur, London: False, Error: 0.005, Next: -0.058, Change: -1
2019-10-29 13:30:41.7514 TotalError: 0.005, Region: Ashford, London: False, Error: 0.005, Next: 0.001, Change: -1
2019-10-29 13:30:42.1145 TotalError: 0.006, Region: Ashfield, London: False, Error: 0.014, Next: 0.037, Change: -1
2019-10-29 13:30:42.2041 TotalError: 0.006, Region: Aylesbury Vale, London: False, Error: 0.004, Next: -0.086, Change: -1
2019-10-29 13:30:42.2757 TotalError: 0.006, Region: Barnet, London: True, Error: 0.005, Next: -0.102, Change: -1
2019-10-29 13:30:42.8876 TotalError: 0.006, Region: Babergh, London: False, Error: 0.006, Next: -0.242, Change: -1
2019-10-29 13:30:48.5729 TotalError: 0.006, Region: Basingstoke and Deane, London: False, Error: 0.004, Next: -0.447, Change: -1
2019-10-29 13:30:49.0257 TotalError: 0.006, Region: Bassetlaw, London: False, Error: 0.017, Next: 0.087, Change: -1
2019-10-29 13:30:49.2348 TotalError: 0.006, Region: Barnsley, London: False, Error: 0.004, Next: 0.013, Change: -1
2019-10-29 13:30:49.3587 TotalError: 0.006, Region: Basildon, London: False, Error: 0.004, Next: -0.068, Change: -1
2019-10-29 13:30:49.7919 TotalError: 0.006, Region: Bedford, London: False, Error: 0.003, Next: -0.007, Change: -1
2019-10-29 13:30:49.8722 TotalError: 0.006, Region: Barrow-in-Furness, London: False, Error: 0.004, Next: -0.009, Change: -1
2019-10-29 13:30:50.1953 TotalError: 0.006, Region: Bath and North East Somerset, London: False, Error: 0.004, Next: 0.009, Change: -1
2019-10-29 13:30:50.7789 TotalError: 0.006, Region: Blaby, London: False, Error: 0.003, Next: 0.042, Change: -1
2019-10-29 13:30:50.8126 TotalError: 0.006, Region: Birmingham, London: False, Error: 0.004, Next: 0.003, Change: -1
2019-10-29 13:30:50.9507 TotalError: 0.006, Region: Blackburn with Darwen, London: False, Error: 0.01, Next: 0.009, Change: -1
2019-10-29 13:30:51.3863 TotalError: 0.006, Region: Blaenau Gwent, London: False, Error: 0.009, Next: -0.032, Change: -1
2019-10-29 13:30:52.0442 TotalError: 0.006, Region: Blackpool, London: False, Error: 0.013, Next: -0.065, Change: -1
2019-10-29 13:30:52.1978 TotalError: 0.006, Region: Bexley, London: True, Error: 0.004, Next: -0.227, Change: -1
2019-10-29 13:30:52.2326 TotalError: 0.007, Region: Bolsover, London: False, Error: 0.055, Next: 0.008, Change: -1
2019-10-29 13:30:57.8739 TotalError: 0.007, Region: Brent, London: True, Error: 0.007, Next: -0.139, Change: -1
2019-10-29 13:30:58.2290 TotalError: 0.007, Region: Braintree, London: False, Error: 0.005, Next: 0.098, Change: -1
2019-10-29 13:30:58.3010 TotalError: 0.007, Region: Bridgend, London: False, Error: 0.003, Next: -0.037, Change: -1
2019-10-29 13:30:58.4131 TotalError: 0.007, Region: Broadland, London: False, Error: 0.002, Next: -0.055, Change: -1
2019-10-29 13:30:58.5902 TotalError: 0.007, Region: Bracknell Forest, London: False, Error: 0.004, Next: -0.438, Change: -1
2019-10-29 13:30:58.7240 TotalError: 0.007, Region: Bournemouth, London: False, Error: 0.005, Next: -0.03, Change: -1
2019-10-29 13:30:59.1954 TotalError: 0.007, Region: Bolton, London: False, Error: 0.004, Next: 0.019, Change: -1
2019-10-29 13:31:01.4086 TotalError: 0.007, Region: Bromley, London: True, Error: 0.004, Next: -0.233, Change: -1
2019-10-29 13:31:01.4548 TotalError: 0.007, Region: Buckinghamshire, London: False, Error: 0.003, Next: -0.331, Change: -1
2019-10-29 13:31:01.5763 TotalError: 0.007, Region: Broxbourne, London: False, Error: 0.004, Next: 0.007, Change: -1
2019-10-29 13:31:01.5763 TotalError: 0.007, Region: Caerphilly, London: False, Error: 0.003, Next: 0.026, Change: -1
2019-10-29 13:31:01.6197 TotalError: 0.006, Region: Burnley, London: False, Error: 0.004, Next: 0.035, Change: -1
2019-10-29 13:31:01.6901 TotalError: 0.006, Region: Bromsgrove, London: False, Error: 0.004, Next: 0.083, Change: -1
2019-10-29 13:31:01.7800 TotalError: 0.006, Region: Bury, London: False, Error: 0.004, Next: 0.075, Change: -1
2019-10-29 13:31:06.2664 TotalError: 0.006, Region: Brighton and Hove, London: False, Error: 0.009, Next: -0.091, Change: -1
