2019-11-04 13:05:34.5656 TotalError: 0.001, AverageError: 0.001, Region: Scotland, London: False, Error: 0.001, Next: 0.04, Change: -1
2019-11-04 13:05:36.4218 TotalError: 0.001, AverageError: 0.001, Region: United Kingdom, London: False, Error: 0, Next: 0.323, Change: -1
2019-11-04 13:05:49.1251 TotalError: 0.003, AverageError: 0.001, Region: East of England, London: False, Error: 0.002, Next: -0.038, Change: -1
2019-11-04 13:05:49.7066 TotalError: 0.005, AverageError: 0.001, Region: South East, London: False, Error: 0.002, Next: -0.025, Change: -1
2019-11-04 13:05:49.7694 TotalError: 0.006, AverageError: 0.001, Region: London, London: False, Error: 0.001, Next: 0.197, Change: -1
2019-11-04 13:05:50.1448 TotalError: 0.008, AverageError: 0.001, Region: East Midlands, London: False, Error: 0.002, Next: -0.076, Change: -1
2019-11-04 13:05:51.5296 TotalError: 0.01, AverageError: 0.001, Region: Adur, London: False, Error: 0.002, Next: -0.042, Change: -1
2019-11-04 13:05:52.0679 TotalError: 0.012, AverageError: 0.001, Region: North East, London: False, Error: 0.002, Next: -0.114, Change: -1
2019-11-04 13:05:54.3668 TotalError: 0.014, AverageError: 0.002, Region: South West, London: False, Error: 0.002, Next: -0.059, Change: -1
2019-11-04 13:05:54.4042 TotalError: 0.016, AverageError: 0.002, Region: England, London: False, Error: 0.002, Next: 0.044, Change: -1
2019-11-04 13:05:54.4957 TotalError: 0.016, AverageError: 0.001, Region: Yorkshire and The Humber, London: False, Error: 0.001, Next: -0.1, Change: -1
2019-11-04 13:05:54.5784 TotalError: 0.018, AverageError: 0.001, Region: West Midlands Region, London: False, Error: 0.001, Next: -0.098, Change: -1
2019-11-04 13:05:54.6285 TotalError: 0.019, AverageError: 0.001, Region: Wales, London: False, Error: 0.002, Next: -0.118, Change: -1
2019-11-04 13:06:21.4182 TotalError: 0.023, AverageError: 0.002, Region: Allerdale, London: False, Error: 0.004, Next: -0.13, Change: -1
2019-11-04 13:06:22.0277 TotalError: 0.025, AverageError: 0.002, Region: Ashfield, London: False, Error: 0.002, Next: -0.188, Change: -1
2019-11-04 13:06:24.4987 TotalError: 0.027, AverageError: 0.002, Region: Arun, London: False, Error: 0.001, Next: -0.041, Change: -1
2019-11-04 13:06:25.5830 TotalError: 0.03, AverageError: 0.002, Region: Amber Valley, London: False, Error: 0.003, Next: -0.121, Change: -1
2019-11-04 13:06:27.7619 TotalError: 0.032, AverageError: 0.002, Region: Basingstoke and Deane, London: False, Error: 0.002, Next: -0.055, Change: -1
2019-11-04 13:06:30.8445 TotalError: 0.035, AverageError: 0.002, Region: Bassetlaw, London: False, Error: 0.002, Next: -0.14, Change: -1
2019-11-04 13:06:31.3757 TotalError: 0.04, AverageError: 0.002, Region: Barrow-in-Furness, London: False, Error: 0.006, Next: -0.126, Change: -1
2019-11-04 13:06:34.6725 TotalError: 0.041, AverageError: 0.002, Region: Ashford, London: False, Error: 0.001, Next: -0.05, Change: -1
2019-11-04 13:06:35.9427 TotalError: 0.045, AverageError: 0.002, Region: Aylesbury Vale, London: False, Error: 0.003, Next: -0.072, Change: -1
2019-11-04 13:06:42.7205 TotalError: 0.046, AverageError: 0.002, Region: Barnet, London: True, Error: 0.001, Next: 0.11, Change: -1
2019-11-04 13:06:42.7633 TotalError: 0.049, AverageError: 0.002, Region: Babergh, London: False, Error: 0.003, Next: -0.054, Change: -1
2019-11-04 13:06:42.9012 TotalError: 0.052, AverageError: 0.002, Region: Basildon, London: False, Error: 0.003, Next: -0.107, Change: -1
2019-11-04 13:06:43.0066 TotalError: 0.055, AverageError: 0.002, Region: Barnsley, London: False, Error: 0.003, Next: -0.203, Change: -1
2019-11-04 13:06:43.0407 TotalError: 0.058, AverageError: 0.002, Region: Bath and North East Somerset, London: False, Error: 0.003, Next: 0.022, Change: -1
2019-11-04 13:06:43.1519 TotalError: 0.06, AverageError: 0.002, Region: Barking and Dagenham, London: True, Error: 0.002, Next: -0.167, Change: -1
2019-11-04 13:07:01.7217 TotalError: 0.066, AverageError: 0.002, Region: Blaenau Gwent, London: False, Error: 0.006, Next: -0.269, Change: -1
2019-11-04 13:07:02.4964 TotalError: 0.068, AverageError: 0.002, Region: Bedford, London: False, Error: 0.001, Next: -0.132, Change: -1
2019-11-04 13:07:04.3884 TotalError: 0.071, AverageError: 0.002, Region: Bolsover, London: False, Error: 0.004, Next: -0.132, Change: -1
2019-11-04 13:07:10.9059 TotalError: 0.074, AverageError: 0.002, Region: Birmingham, London: False, Error: 0.002, Next: -0.092, Change: -1
2019-11-04 13:07:12.4867 TotalError: 0.076, AverageError: 0.002, Region: Blackburn with Darwen, London: False, Error: 0.003, Next: -0.195, Change: -1
2019-11-04 13:07:13.6968 TotalError: 0.079, AverageError: 0.002, Region: Bexley, London: True, Error: 0.002, Next: -0.067, Change: -1
2019-11-04 13:07:13.7340 TotalError: 0.08, AverageError: 0.002, Region: Blaby, London: False, Error: 0.002, Next: -0.136, Change: -1
2019-11-04 13:07:13.7807 TotalError: 0.082, AverageError: 0.002, Region: Blackpool, London: False, Error: 0.002, Next: -0.247, Change: -1
2019-11-04 13:07:13.7943 TotalError: 0.084, AverageError: 0.002, Region: Bolton, London: False, Error: 0.002, Next: -0.162, Change: -1
2019-11-04 13:07:34.1313 TotalError: 0.087, AverageError: 0.002, Region: Bracknell Forest, London: False, Error: 0.003, Next: 0.023, Change: -1
